id,name,shortName,mode,networkId,impactedObjects
line:IDFM:C00920,31,31,Bus,network:IDFM:1056,"[{'type': 'line', 'id': 'line:IDFM:C00920', 'name': '31', 'disruptionIds': ['7154e3fe-58c7-11ef-a8d9-0a58a9feac02']}]"
line:IDFM:C00922,32,32,Bus,network:IDFM:1056,"[{'type': 'line', 'id': 'line:IDFM:C00922', 'name': '32', 'disruptionIds': ['db978fda-d8b2-11ef-a594-0a58a9feac02']}]"
line:IDFM:C02160,32S,32S,Bus,network:IDFM:1056,"[{'type': 'line', 'id': 'line:IDFM:C02160', 'name': '32S', 'disruptionIds': ['1e51e54e-dcc0-11ef-b2cf-0a58a9feac02', 'db978fda-d8b2-11ef-a594-0a58a9feac02']}]"
line:IDFM:C00923,33,33,Bus,network:IDFM:1056,"[{'type': 'line', 'id': 'line:IDFM:C00923', 'name': '33', 'disruptionIds': ['1e51e54e-dcc0-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C01993,48,48,Bus,network:IDFM:1056,"[{'type': 'line', 'id': 'line:IDFM:C01993', 'name': '48', 'disruptionIds': ['db978fda-d8b2-11ef-a594-0a58a9feac02']}]"
line:IDFM:C00942,56S,56S,Bus,network:IDFM:1056,"[{'type': 'line', 'id': 'line:IDFM:C00942', 'name': '56S', 'disruptionIds': ['1b77da0a-655a-11ef-ae41-0a58a9feac02']}]"
line:IDFM:C02291,TàD 43,TàD,Bus,network:IDFM:1056,"[{'type': 'line', 'id': 'line:IDFM:C02291', 'name': 'TàD 43', 'disruptionIds': ['8f5ec8d4-39db-11ef-85e1-0a58a9feac02']}]"
line:IDFM:C00163,1 (future 5311),1,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00163', 'name': '1 (future 5311)', 'disruptionIds': ['e084398c-da45-11ef-a594-0a58a9feac02']}]"
line:IDFM:C00054,2 (future 5332),2,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00054', 'name': '2 (future 5332)', 'disruptionIds': ['4bbccb32-dfb5-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00402,7 (future 5327),7,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00402', 'name': '7 (future 5327)', 'disruptionIds': ['3f7ec33e-d7d1-11ef-abd9-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5750', 'name': 'Place Foch', 'disruptionIds': ['ff5f1896-d80a-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00410,14 (future 5324),14,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00410', 'name': '14 (future 5324)', 'disruptionIds': ['3f7ec33e-d7d1-11ef-abd9-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5750', 'name': 'Place Foch', 'disruptionIds': ['ff5f1896-d80a-11ef-b2cf-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5752', 'name': 'Rue Andin', 'disruptionIds': ['ff5f1896-d80a-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00175,20 (future 5320),20,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00175', 'name': '20 (future 5320)', 'disruptionIds': ['445ed498-dfb5-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00181,30 (future 5230),30,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00181', 'name': '30 (future 5230)', 'disruptionIds': ['ceeffdf6-d7dd-11ef-b937-0a58a9feac02']}]"
line:IDFM:C01952,39 (future 5349),39,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C01952', 'name': '39 (future 5349)', 'disruptionIds': ['fabc5b9a-d8a6-11ef-b2cf-0a58a9feac02']}]"
